job,link,time,price,bid,status
Proofreading/editing_English text,https://www.freelancer.com/projects/proofreading/proofreading-editing-english-text-28373526/,6 days left,$20 / hr,3 bids,
PowerBI MQuery Developer,https://www.freelancer.com/projects/power-bi/powerbi-mquery-developer/,15 hours left,$157,3 bids,
I need an economics expert.,https://www.freelancer.com/projects/economics/need-economics-expert-28300570/,1 day left,$55,3 bids,
Buld me A trading BOT,https://www.freelancer.com/projects/php/buld-trading-bot-28309407/,2 days left,$338,3 bids,
FF&E Hotel procurement consulting,https://www.freelancer.com/projects/procurement/hotel-procurement-consulting/,11 hours left,$5533,3 bids,VERIFIED
The VDM Specification Language,https://www.freelancer.com/projects/java/the-vdm-specification-language/,2 days left,$164,3 bids,VERIFIED
Performance improvement of a Shopify website,https://www.freelancer.com/projects/google-website-optimizer/performance-improvement-shopify-website/,1 day left,$147,3 bids,VERIFIED
Custom Build Crypto Mining Pool,https://www.freelancer.com/projects/blockchain/custom-build-crypto-mining-pool/,2 days left,$250,3 bids,
opencart developer -,https://www.freelancer.com/projects/php/opencart-developer-28338685/,4 days left,$3 / hr,3 bids,VERIFIED
server-wallbox com over ocpp1.6j,https://www.freelancer.com/projects/json/server-wallbox-com-over-ocpp/,4 days left,$1700,3 bids,VERIFIED
build  website,https://www.freelancer.com/projects/html/build-website-28335488/,4 days left,$20 / hr,3 bids,
build time management course for beginning affiliate marketer with full time job,https://www.freelancer.com/projects/php/build-time-management-course-for/,4 days left,$150,3 bids,
Need Salesforce and Mulesoft ( Need both expert ),https://www.freelancer.com/projects/salesforce-com/need-salesforce-mulesoft-need-both/,4 days left,$12 - $13 / hr,3 bids,VERIFIED
Proofreading/editing_English text,https://www.freelancer.com/projects/proofreading/proofreading-editing-english-text-28342618/,4 days left,$19 / hr,3 bids,
I need an expert to setup a server so I can create a vpn for iPhone,https://www.freelancer.com/projects/virtual-private-server/need-expert-setup-server-can/,3 days left,$147,3 bids,VERIFIED
Need Online tutoring application,https://www.freelancer.com/projects/mobile-phone/need-online-tutoring-application/,4 days left,$360,3 bids,VERIFIED
Electroplating Plant,https://www.freelancer.com/projects/autocad/electroplating-plant/,6 days left,$12 / hr,3 bids,
Bigbluebutton complete customization as per our wireframe,https://www.freelancer.com/projects/ruby-on-rails/bigbluebutton-complete-customization-per/,4 days left,$12 / hr,3 bids,
Proofreading/editing_English text,https://www.freelancer.com/projects/proofreading/proofreading-editing-english-text-28357358/,5 days left,$17 / hr,3 bids,
Looking for a Blockchain developer for telegram chat -- 2,https://www.freelancer.com/projects/blockchain/looking-for-blockchain-developer-for-28348460/,5 days left,$86,3 bids,
Mobile App for a medical condition,https://www.freelancer.com/projects/mobile-phone/mobile-app-for-medical-condition/,6 days left,$418,3 bids,
NGL Fractionation Plant Design,https://www.freelancer.com/projects/chemical-engineering/ngl-fractionation-plant-design/,12 hours left,$15555,3 bids,VERIFIED
"system verilog, xilinx expert needed -- 2",https://www.freelancer.com/projects/engineering/system-verilog-xilinx-expert-needed/,6 days left,$5 / hr,3 bids,VERIFIED
Django GIS GEOS,https://www.freelancer.com/projects/python/django-gis-geos-28372087/,6 days left,$20 / hr,3 bids,VERIFIED
Al sheikh site visit and Confirm a Location,https://www.freelancer.com/projects/photography/sheikh-site-visit-confirm-location/,5 days left,$53,3 bids,VERIFIED
"I need online compiler like Ideone, I need to implement on my tutorial website",https://www.freelancer.com/projects/php/need-online-compiler-like-ideone/,6 days left,$5 / hr,3 bids,VERIFIED
WHMCS Payment Gateway - Clover (Bluepay),https://www.freelancer.com/projects/whmcs/whmcs-payment-gateway-clover-bluepay/,6 days left,$184,3 bids,VERIFIED
Validate data using impedance spectroscopy,https://www.freelancer.com/projects/electrical-engineering/validate-data-using-impedance/,1 hour left,$15 / hr,3 bids,
5 axis Mastercam Programming1,https://www.freelancer.com/projects/cad-cam/axis-mastercam-programming/,1 day left,$42,3 bids,VERIFIED
Machine learning MSAI  Project,https://www.freelancer.com/projects/machine-learning/machine-learning-msai-project/,18 hours left,$20,3 bids,VERIFIED
we need architecture,https://www.freelancer.com/projects/user-experience-design/need-architecture/,2 days left,$12 / hr,3 bids,
Lottery  Based Online Survey In  Virginia!!!,https://www.freelancer.com/projects/market-research/lottery-based-online-survey-virginia/,1 day left,$103,3 bids,
Derishell module (Python) enhance for Binance via API v3 (spot),https://www.freelancer.com/projects/python/derishell-module-python-enhance-for/,2 days left,$35,3 bids,VERIFIED
Automatic Storage retrieval system(ASRS),https://www.freelancer.com/projects/electronics/automatic-storage-retrieval-system-asrs/,2 days left,$33,3 bids,
